workclass,race,sex,age,education_num,hours_per_week,capital_gain,data_source
Private,  BLACK  ,FEMALE,42.0,10.0,40.0,0,census_1994
private,White,Male,47.0,9.0,40.0,0,census_1994
  PRIVATE  , Black ,FEMALE,49.0,5.0,16.0,0,census_1994
  PRIVATE  ,white,male,30.0,9.0,45.0,0,census_1994
State-gov,Asian-Pac-Islander,Male,24.0,10.0,24.0,0,census_1994
  PRIVATE  ,White,Female,17.0,6.0,20.0,0,census_1994
Private,White, Female,18.0,7.0,40.0,0,census_1994
Local-gov,White,FEMALE,43.0,13.0,45.0,0,census_1994
  PRIVATE  ,White,M,47.0,9.0,40.0,0,census_1994
Self-emp-not-inc,  BLACK  ,Male,27.0,9.0,40.0,0,census_1994
private,White,FEMALE,24.0,10.0,25.0,0,census_1994
Private,White,MALE,37.0,9.0,60.0,"15,024",census_1994
Private,White,MALE,36.0,12.0,52.0,0,census_1994
Private,White,F,51.0,10.0,40.0,0,census_1994
,asian-pac-islander,F,19.0,10.0,40.0,0,census_1994
Private,White,MALE,47.0,5.0,48.0,"4,386",census_1994
State-gov,Black,female,72.0,4.0,40.0,0,census_1994
,  ASIAN-PAC-ISLANDER  , Male,33.0,13.0,80.0,0,census_1994
private,White,M,20.0,10.0,60.0,0,census_1994
 Self-emp-inc ,White,Male,44.0,10.0,50.0,0,census_1994
Private,Other,M,25.0,7.0,40.0,0,census_1994
  PRIVATE  ,White, Male,32.0,9.0,40.0,0,census_1994
  LOCAL-GOV  ,Black,unknown,46.0,13.0,40.0,0,census_1994
  PRIVATE  ,Black,,40.0,14.0,40.0,"5,178",census_1994
Private,  WHITE  ,Male,24.0,9.0,45.0,0,census_1994
Private,  WHITE  , Male,54.0,9.0,32.0,0,census_1994
Private,White,M,55.0,10.0,50.0,0,census_1994
Private,white,MALE,47.0,9.0,40.0,0,census_1994
Private,  WHITE  ,MALE,27.0,10.0,40.0,"3,908",census_1994
,White,Male,62.0,9.0,40.0,0,census_1994
,White,F,76.0,9.0,3.0,0,census_1994
Private,  BLACK  ,male,20.0,10.0,40.0,0,census_1994
private, Black ,Female,53.0,11.0,40.0,0,census_1994
Private,white,Male,36.0,13.0,40.0,0,census_1994
Private,White,FEMALE,40.0,10.0,40.0,0,census_1994
Self-emp-not-inc,  WHITE  , Male,64.0,9.0,45.0,"7,298",census_1994
  FEDERAL-GOV  ,White,M,28.0,13.0,50.0,0,census_1994
private,  WHITE  ,Male,30.0,9.0,35.0,0,census_1994
private,White,Male,27.0,12.0,42.0,0,census_1994
,  WHITE  ,female,18.0,9.0,40.0,0,census_1994
,White,female,33.0,10.0,40.0,"5,178",census_1994
,White,?,47.0,13.0,18.0,0,census_1994
  PRIVATE  ,white,male,28.0,9.0,70.0,0,census_1994
  PRIVATE  ,black,F,26.0,3.0,40.0,0,census_1994
state-gov,Asian-Pac-Islander, Female,21.0,10.0,12.0,0,census_1994
Private,White,M,28.0,9.0,40.0,0,census_1994
Private,white,FEMALE,22.0,10.0,30.0,0,census_1994
  PRIVATE  ,White,?,18.0,10.0,20.0,0,census_1994
  LOCAL-GOV  ,  BLACK  ,FEMALE,25.0,10.0,40.0,0,census_1994
Private,  WHITE  ,M,49.0,7.0,40.0,0,census_1994
Private,White,unknown,23.0,14.0,10.0,0,census_1994
State-gov,Asian-Pac-Islander,male,27.0,14.0,20.0,0,census_1994
Federal-gov, White ,female,36.0,9.0,48.0,0,census_1994
 Private ,White,MALE,65.0,7.0,20.0,0,census_1994
,white, Male,37.0,10.0,40.0,0,census_1994
Private, Black , Female,19.0,9.0,35.0,0,census_1994
private,White, Female,36.0,10.0,40.0,0,census_1994
Private,White,Male,29.0,13.0,40.0,0,census_1994
Local-gov,black,Male,55.0,10.0,40.0,0,census_1994
  LOCAL-GOV  ,White,F,19.0,10.0,25.0,0,census_1994
,White,Female,21.0,10.0,3.0,0,census_1994
Self-emp-not-inc,White,female,54.0,13.0,35.0,0,census_1994
Private,White,male,27.0,10.0,40.0,0,census_1994
Private,Black,female,57.0,10.0,40.0,0,census_1994
Private,White, Male,28.0,9.0,40.0,0,census_1994
private,White, Female,30.0,9.0,40.0,0,census_1994
self-emp-inc,  WHITE  ,MALE,47.0,9.0,40.0,0,census_1994
State-gov,  BLACK  ,MALE,34.0,13.0,40.0,0,census_1994
Private,white,Female,80.0,13.0,40.0,0,census_1994
 State-gov ,White,M,64.0,9.0,40.0,0,census_1994
Private,white,FEMALE,42.0,9.0,40.0,0,census_1994
private, White ,male,18.0,10.0,20.0,0,census_1994
Private,White,Male,44.0,9.0,40.0,0,census_1994
  PRIVATE  ,White,M,35.0,9.0,40.0,0,census_1994
private,White,unknown,44.0,13.0,40.0,0,census_1994
  PRIVATE  ,White,F,42.0,4.0,40.0,0,census_1994
private,  WHITE  ,male,39.0,13.0,40.0,0,census_1994
  PRIVATE  ,White,Male,20.0,9.0,40.0,0,census_1994
Private,White,F,41.0,9.0,40.0,0,census_1994
Private,White,M,42.0,9.0,40.0,0,census_1994
Self-emp-not-inc,White,Female,34.0,11.0,40.0,0,census_1994
State-gov,White,Male,26.0,13.0,20.0,0,census_1994
Private,White,Male,20.0,1.0,32.0,0,census_1994
Private,  WHITE  ,Female,27.0,6.0,40.0,0,census_1994
  PRIVATE  ,Black,unknown,18.0,6.0,40.0,0,census_1994
 Self-emp-not-inc ,White,MALE,60.0,9.0,8.0,"4,508",census_1994
 Private ,White,Male,39.0,11.0,40.0,0,census_1994
Private, White ,M,51.0,9.0,50.0,0,census_1994
private,white,female,34.0,11.0,40.0,0,census_1994
Private,Asian-Pac-Islander,M,64.0,9.0,60.0,0,census_1994
Private,White, Male,22.0,9.0,45.0,0,census_1994
private,White,F,27.0,10.0,40.0,0,census_1994
  PRIVATE  ,White,female,26.0,9.0,40.0,0,census_1994
Private,white, Male,30.0,9.0,40.0,0,census_1994
Local-gov,  WHITE  ,female,54.0,13.0,40.0,"3,103",census_1994
Self-emp-not-inc, White ,male,60.0,14.0,40.0,0,census_1994
Self-emp-inc,White,M,64.0,14.0,65.0,"6,418",census_1994
  PRIVATE  ,White, Male,41.0,7.0,50.0,0,census_1994
  PRIVATE  ,White,male,44.0,12.0,50.0,0,census_1994
Private,  WHITE  ,male,33.0,9.0,55.0,0,census_1994
Private,  WHITE  ,Female,21.0,10.0,15.0,0,census_1994
Self-emp-inc,white, Male,43.0,15.0,40.0,0,census_1994
Private,White,F,31.0,12.0,32.0,0,census_1994
Self-emp-not-inc,White,M,56.0,14.0,16.0,0,census_1994
Private,White, Male,34.0,13.0,55.0,"3,103",census_1994
,Black,MALE,66.0,4.0,30.0,0,census_1994
private,White, Female,17.0,7.0,40.0,0,census_1994
  LOCAL-GOV  , White ,MALE,27.0,7.0,40.0,0,census_1994
Private,White,Female,26.0,13.0,40.0,0,census_1994
private, White ,M,25.0,13.0,30.0,0,census_1994
Private,White,male,25.0,13.0,50.0,"27,828",census_1994
 State-gov ,white,Male,20.0,10.0,30.0,0,census_1994
Private,White,male,43.0,13.0,40.0,0,census_1994
  PRIVATE  ,White,Female,20.0,10.0,20.0,0,census_1994
  STATE-GOV  ,White,M,35.0,13.0,42.0,0,census_1994
private,White, Male,23.0,3.0,35.0,0,census_1994
private,White,M,76.0,13.0,50.0,"20,051",census_1994
Private,White,male,32.0,10.0,40.0,0,census_1994
State-gov,white,female,19.0,10.0,8.0,0,census_1994
Private,Other,M,77.0,4.0,30.0,0,census_1994
private,Other, Male,33.0,5.0,40.0,0,census_1994
Private,White,MALE,23.0,2.0,36.0,0,census_1994
Private,White,unknown,43.0,11.0,36.0,0,census_1994
  PRIVATE  ,Black, Male,29.0,9.0,40.0,0,census_1994
Self-emp-not-inc,White,MALE,52.0,10.0,5.0,0,census_1994
Local-gov,Black, Female,57.0,14.0,40.0,0,census_1994
  PRIVATE  ,  WHITE  ,male,38.0,13.0,40.0,"7,688",census_1994
Self-emp-inc,White,Male,53.0,10.0,48.0,0,census_1994
  PRIVATE  ,White,F,46.0,9.0,40.0,0,census_1994
Local-gov,white,Male,54.0,14.0,45.0,0,census_1994
Private,  WHITE  ,MALE,45.0,16.0,50.0,0,census_1994
  SELF-EMP-NOT-INC  ,White,MALE,40.0,9.0,40.0,0,census_1994
  FEDERAL-GOV  ,  WHITE  ,Male,90.0,9.0,30.0,0,census_1994
  PRIVATE  ,white,?,18.0,9.0,36.0,0,census_1994
Local-gov,White,male,32.0,14.0,48.0,0,census_1994
Private,  BLACK  ,Male,39.0,14.0,52.0,"8,614",census_1994
Private,White, Male,48.0,12.0,45.0,0,census_1994
Private,White,M,34.0,14.0,50.0,0,census_1994
,  WHITE  , Female,36.0,9.0,28.0,0,census_1994
self-emp-inc,White,Male,69.0,9.0,30.0,0,census_1994
Self-emp-not-inc,White, Male,58.0,13.0,72.0,0,census_1994
  PRIVATE  ,white,Male,44.0,10.0,40.0,0,census_1994
Private,White,male,43.0,13.0,50.0,0,census_1994
Private, White , Male,59.0,7.0,60.0,0,census_1994
state-gov,Black,MALE,42.0,10.0,48.0,0,census_1994
Private,White,MALE,49.0,14.0,40.0,0,census_1994
Private,white,Male,58.0,5.0,50.0,0,census_1994
Private,White,Male,47.0,13.0,50.0,0,census_1994
Local-gov,black, Male,30.0,9.0,40.0,0,census_1994
 Private ,Black,Male,50.0,10.0,70.0,0,census_1994
Self-emp-not-inc,white,MALE,48.0,16.0,60.0,"99,999",census_1994
state-gov,White, Male,25.0,10.0,20.0,0,census_1994
Self-emp-not-inc,White,MALE,47.0,9.0,50.0,0,census_1994
private,White, Female,29.0,13.0,10.0,"3,325",census_1994
Private,  WHITE  ,unknown,38.0,9.0,48.0,0,census_1994
  PRIVATE  ,  WHITE  , Male,32.0,3.0,40.0,0,census_1994
  PRIVATE  ,White, Female,52.0,9.0,40.0,0,census_1994
self-emp-not-inc,White,MALE,50.0,13.0,60.0,0,census_1994
Local-gov,White,MALE,51.0,10.0,40.0,0,census_1994
Local-gov, Other ,male,29.0,10.0,40.0,0,census_1994
state-gov,White,M,48.0,14.0,55.0,0,census_1994
Private,White,F,54.0,10.0,40.0,0,census_1994
Private, White ,Female,25.0,10.0,40.0,0,census_1994
Private,White, Male,28.0,9.0,40.0,0,census_1994
Private,white, Male,50.0,9.0,50.0,0,census_1994
Private,Asian-Pac-Islander,MALE,57.0,16.0,40.0,0,census_1994
Local-gov,Asian-Pac-Islander,female,28.0,13.0,40.0,0,census_1994
state-gov, White ,Female,53.0,14.0,40.0,0,census_1994
Private,White,male,25.0,10.0,40.0,0,census_1994
 Private ,White,MALE,25.0,9.0,30.0,0,census_1994
Private,White,M,58.0,9.0,40.0,0,census_1994
,White,FEMALE,43.0,9.0,40.0,0,census_1994
Self-emp-not-inc,  ASIAN-PAC-ISLANDER  ,M,48.0,9.0,30.0,0,census_1994
 Private , White ,M,27.0,13.0,40.0,0,census_1994
Self-emp-not-inc,White,Female,48.0,16.0,60.0,0,census_1994
private,White,Female,43.0,9.0,40.0,0,census_1994
  PRIVATE  ,white,M,28.0,16.0,30.0,0,census_1994
federal-gov,Other,M,26.0,11.0,55.0,0,census_1994
 Private ,White, Male,30.0,10.0,40.0,0,census_1994
Private,White, Female,40.0,11.0,35.0,0,census_1994
Federal-gov,white,M,31.0,14.0,60.0,"7,688",census_1994
,White, Male,46.0,3.0,40.0,0,census_1994
Private,white, Female,46.0,16.0,65.0,"25,236",census_1994
Private,white, Female,40.0,9.0,40.0,0,census_1994
 Self-emp-inc ,white,female,61.0,14.0,99.0,0,census_1994
private,white,,20.0,10.0,10.0,0,census_1994
,White,MALE,68.0,16.0,70.0,0,census_1994
 Self-emp-not-inc ,White,F,48.0,14.0,40.0,0,census_1994
 Self-emp-not-inc ,white,?,43.0,9.0,45.0,0,census_1994
Private,  WHITE  ,female,41.0,11.0,40.0,0,census_1994
private,White,M,49.0,13.0,40.0,0,census_1994
Private,amer-indian-eskimo,,30.0,7.0,40.0,0,census_1994
 State-gov ,  ASIAN-PAC-ISLANDER  ,male,25.0,13.0,40.0,"2,463",census_1994
Private,White,M,20.0,9.0,35.0,0,census_1994
Local-gov,White,MALE,37.0,11.0,80.0,0,census_1994
Private,Black, Female,36.0,12.0,40.0,0,census_1994
 Self-emp-inc ,White,M,36.0,12.0,70.0,0,census_1994
 Self-emp-not-inc ,White, Male,70.0,14.0,8.0,0,census_1994
private,White,M,47.0,9.0,48.0,0,census_1994
Local-gov,White,FEMALE,51.0,15.0,40.0,0,census_1994
State-gov,white,female,29.0,15.0,40.0,"4,787",census_1994
Self-emp-not-inc,White,Male,45.0,10.0,75.0,0,census_1994
Private,White,male,27.0,9.0,40.0,0,census_1994
Private,White,Male,38.0,10.0,50.0,0,census_1994
Private,White,FEMALE,90.0,10.0,40.0,0,census_1994
Private,White,female,21.0,10.0,40.0,0,census_1994
Local-gov,Black,F,40.0,15.0,40.0,0,census_1994
Private,White,male,33.0,7.0,49.0,0,census_1994
  SELF-EMP-NOT-INC  ,white,MALE,54.0,9.0,35.0,0,census_1994
  PRIVATE  ,  WHITE  ,Male,19.0,10.0,14.0,0,census_1994
,  WHITE  ,FEMALE,21.0,10.0,35.0,0,census_1994
  SELF-EMP-NOT-INC  , White ,male,76.0,4.0,10.0,0,census_1994
private,white,female,34.0,9.0,36.0,0,census_1994
Private, White , Female,30.0,9.0,40.0,0,census_1994
Private,black,Male,24.0,13.0,40.0,0,census_1994
Private, White ,M,53.0,11.0,40.0,0,census_1994
Private, White ,Female,29.0,16.0,80.0,0,census_1994
private,white, Male,46.0,16.0,40.0,0,census_1994
  PRIVATE  , White ,female,32.0,9.0,37.0,0,census_1994
Private,white,Male,19.0,10.0,35.0,0,census_1994
State-gov,White,FEMALE,37.0,13.0,50.0,0,census_1994
private,White,female,33.0,13.0,40.0,914,census_1994
Private,  WHITE  ,M,23.0,13.0,50.0,0,census_1994
Private,  WHITE  ,male,32.0,10.0,50.0,0,census_1994
Self-emp-inc,White,male,52.0,9.0,40.0,0,census_1994
  PRIVATE  ,  WHITE  ,MALE,70.0,13.0,30.0,0,census_1994
Federal-gov,  BLACK  , Male,27.0,13.0,48.0,0,census_1994
Private,Black, Female,26.0,10.0,35.0,0,census_1994
private,Black,M,43.0,9.0,40.0,0,census_1994
  PRIVATE  ,White,F,41.0,7.0,40.0,0,census_1994
Private, White ,male,45.0,10.0,70.0,0,census_1994
Private,White, Male,35.0,10.0,55.0,0,census_1994
private,White,Male,34.0,14.0,40.0,0,census_1994
Private,White, Female,34.0,9.0,32.0,0,census_1994
  STATE-GOV  ,White,Female,46.0,11.0,20.0,0,census_1994
Private,Asian-Pac-Islander,Male,42.0,14.0,40.0,0,census_1994
Local-gov,White,male,55.0,14.0,50.0,0,census_1994
private,white, Female,33.0,13.0,45.0,"10,520",census_1994
Private, White ,F,43.0,9.0,40.0,0,census_1994
State-gov,  WHITE  ,M,31.0,14.0,35.0,0,census_1994
,White, Female,19.0,10.0,20.0,0,census_1994
Local-gov,Black,male,49.0,9.0,40.0,0,census_1994
Private,White,male,48.0,14.0,50.0,"99,999",census_1994
Private,White, Female,56.0,9.0,15.0,0,census_1994
Self-emp-not-inc, White ,Male,39.0,9.0,60.0,0,census_1994
  PRIVATE  ,White,M,61.0,10.0,44.0,0,census_1994
  PRIVATE  ,  AMER-INDIAN-ESKIMO  ,FEMALE,38.0,10.0,40.0,0,census_1994
Private,White,male,39.0,9.0,40.0,0,census_1994
Private,White,Male,55.0,6.0,50.0,0,census_1994
private,White,M,33.0,9.0,40.0,0,census_1994
Local-gov,White, Male,30.0,13.0,40.0,0,census_1994
private,White,FEMALE,47.0,13.0,25.0,0,census_1994
 Private ,White,MALE,26.0,13.0,50.0,0,census_1994
Private,  BLACK  ,,40.0,9.0,40.0,0,census_1994
Private, White ,male,38.0,10.0,60.0,0,census_1994
 Local-gov ,White,male,31.0,10.0,40.0,0,census_1994
  PRIVATE  ,white,male,34.0,7.0,43.0,0,census_1994
Private,white,Male,36.0,9.0,40.0,0,census_1994
Self-emp-not-inc,White, Male,45.0,9.0,40.0,0,census_1994
Private,White,MALE,57.0,14.0,60.0,0,census_1994
private,white,female,53.0,6.0,40.0,0,census_1994
  PRIVATE  ,Asian-Pac-Islander, Male,53.0,9.0,10.0,0,census_1994
Private,white,M,36.0,16.0,40.0,0,census_1994
local-gov,White,female,48.0,14.0,80.0,0,census_1994
  PRIVATE  ,White,male,41.0,9.0,40.0,0,census_1994
 Self-emp-not-inc ,  WHITE  ,Female,59.0,10.0,80.0,0,census_1994
  PRIVATE  ,white,?,23.0,11.0,40.0,0,census_1994
Private,black,Male,33.0,9.0,50.0,0,census_1994
Private,White,Male,30.0,9.0,45.0,0,census_1994
Self-emp-not-inc,  WHITE  ,MALE,24.0,10.0,60.0,0,census_1994
 Private ,black,F,23.0,11.0,40.0,0,census_1994
Private,asian-pac-islander,M,60.0,14.0,50.0,0,census_1994
Private,white, Male,19.0,9.0,35.0,0,census_1994
  PRIVATE  ,black,male,25.0,9.0,36.0,0,census_1994
private,White, Female,38.0,13.0,40.0,0,census_1994
,  WHITE  ,male,23.0,10.0,40.0,0,census_1994
private,White,unknown,90.0,12.0,45.0,"6,097",census_1994
  SELF-EMP-NOT-INC  ,White,M,46.0,9.0,50.0,0,census_1994
Private,White, Male,30.0,10.0,40.0,0,census_1994
  PRIVATE  ,white,F,43.0,10.0,40.0,0,census_1994
  PRIVATE  ,white,M,53.0,13.0,55.0,0,census_1994
Private,Amer-Indian-Eskimo, Male,44.0,9.0,40.0,0,census_1994
private,White,Male,39.0,14.0,55.0,0,census_1994
  PRIVATE  ,black,female,25.0,7.0,40.0,0,census_1994
Private,White,F,39.0,10.0,45.0,0,census_1994
 Private ,White,FEMALE,28.0,10.0,40.0,0,census_1994
private,white,Male,41.0,13.0,52.0,0,census_1994
Private,White,MALE,19.0,6.0,20.0,0,census_1994
  PRIVATE  ,White,unknown,88.0,10.0,40.0,0,census_1994
Self-emp-not-inc,White,M,45.0,9.0,60.0,0,census_1994
Private,White,Male,32.0,9.0,40.0,0,census_1994
Self-emp-inc,  WHITE  ,MALE,50.0,9.0,40.0,"7,298",census_1994
Private,White,M,43.0,9.0,65.0,0,census_1994
,White,female,21.0,10.0,40.0,0,census_1994
private, White ,F,23.0,13.0,40.0,0,census_1994
private,White,MALE,46.0,5.0,35.0,0,census_1994
local-gov,Black,FEMALE,52.0,13.0,40.0,0,census_1994
Private,  WHITE  ,FEMALE,50.0,9.0,33.0,0,census_1994
,  WHITE  ,?,33.0,4.0,40.0,0,census_1994
  PRIVATE  ,White,MALE,54.0,9.0,40.0,0,census_1994
Private, White ,FEMALE,55.0,14.0,40.0,0,census_1994
  PRIVATE  ,White,Male,22.0,9.0,80.0,0,census_1994
Private,White,MALE,30.0,15.0,50.0,"10,520",census_1994
 Private ,White, Female,20.0,10.0,20.0,0,census_1994
Self-emp-not-inc,  WHITE  ,M,35.0,13.0,7.0,0,census_1994
Private,  BLACK  ,M,44.0,10.0,40.0,0,census_1994
 Private ,White,FEMALE,45.0,9.0,38.0,0,census_1994
 Self-emp-not-inc , White , Male,44.0,9.0,45.0,0,census_1994
Private,  WHITE  ,MALE,38.0,7.0,40.0,0,census_1994
Private,White,MALE,23.0,9.0,40.0,0,census_1994
private,Asian-Pac-Islander,FEMALE,39.0,13.0,24.0,0,census_1994
,White, Female,59.0,9.0,40.0,0,census_1994
private, Asian-Pac-Islander ,M,25.0,7.0,35.0,0,census_1994
private,White,female,46.0,12.0,40.0,0,census_1994
State-gov, White ,female,59.0,14.0,60.0,0,census_1994
  PRIVATE  ,  WHITE  ,Male,34.0,10.0,42.0,0,census_1994
Private,White,Male,26.0,10.0,50.0,0,census_1994
 Self-emp-inc ,  WHITE  ,M,41.0,13.0,40.0,0,census_1994
Private,Asian-Pac-Islander,MALE,23.0,13.0,55.0,0,census_1994
Private,  WHITE  ,male,33.0,11.0,42.0,0,census_1994
Local-gov,asian-pac-islander,M,42.0,12.0,48.0,0,census_1994
Private,White, Male,32.0,13.0,40.0,0,census_1994
 Private ,White,MALE,28.0,10.0,40.0,0,census_1994
Self-emp-not-inc,Black, Male,28.0,10.0,40.0,0,census_1994
federal-gov,Black, Female,44.0,13.0,40.0,0,census_1994
Private,White,male,43.0,9.0,40.0,"4,650",census_1994
  SELF-EMP-NOT-INC  ,white,Male,27.0,9.0,50.0,"9,562",census_1994
  SELF-EMP-INC  , White , Male,17.0,6.0,12.0,0,census_1994
Self-emp-not-inc,  WHITE  ,Male,28.0,10.0,40.0,0,census_1994
local-gov,White,MALE,43.0,9.0,40.0,0,census_1994
Self-emp-not-inc,  WHITE  ,male,38.0,10.0,30.0,0,census_1994
  SELF-EMP-NOT-INC  ,White, Male,39.0,9.0,50.0,0,census_1994
  PRIVATE  ,White,M,38.0,9.0,50.0,0,census_1994
Self-emp-not-inc,White,Female,51.0,12.0,99.0,0,census_1994
  PRIVATE  , White , Male,21.0,9.0,40.0,0,census_1994
private, White ,F,36.0,7.0,40.0,0,census_1994
Private,White, Female,29.0,12.0,40.0,0,census_1994
Private,White,Female,48.0,6.0,48.0,0,census_1994
  PRIVATE  ,White, Male,48.0,9.0,40.0,0,census_1994
,White,male,55.0,9.0,40.0,"13,550",census_1994
Private,White,male,45.0,14.0,40.0,0,census_1994
 State-gov ,White,M,20.0,12.0,30.0,0,census_1994
  SELF-EMP-NOT-INC  , White ,Male,42.0,13.0,21.0,0,census_1994
Private,White,FEMALE,19.0,10.0,20.0,0,census_1994
Private,white,male,34.0,10.0,50.0,0,census_1994
Private,White,M,24.0,13.0,50.0,0,census_1994
Private,White,male,37.0,9.0,40.0,0,census_1994
Self-emp-not-inc,white,male,63.0,9.0,45.0,0,census_1994
  PRIVATE  ,white,F,23.0,10.0,30.0,0,census_1994
Private, White ,FEMALE,28.0,5.0,35.0,0,census_1994
Private,White,Female,36.0,9.0,30.0,0,census_1994
local-gov,Black, Female,53.0,14.0,40.0,0,census_1994
Federal-gov,Black,FEMALE,66.0,11.0,40.0,"3,273",census_1994
 Local-gov ,Amer-Indian-Eskimo,FEMALE,28.0,9.0,35.0,0,census_1994
  PRIVATE  ,asian-pac-islander,MALE,33.0,14.0,55.0,0,census_1994
Private,  WHITE  ,Female,23.0,9.0,15.0,"8,614",census_1994
Self-emp-not-inc,White, Male,54.0,11.0,16.0,0,census_1994
Private, White , Male,44.0,9.0,55.0,0,census_1994
 Private ,  WHITE  ,male,51.0,9.0,40.0,0,census_1994
,  WHITE  , Male,22.0,10.0,30.0,0,census_1994
Private,White,Female,22.0,13.0,30.0,0,census_1994
Private,White, Male,35.0,13.0,40.0,0,census_1994
