workclass,race,sex,age,education_num,hours_per_week,capital_gain
Local-gov,White,Male,39.0,12.0,40.0,0.0
Self-emp-not-inc,White,Male,51.0,10.0,40.0,0.0
Private,White,Female,26.0,10.0,40.0,0.0
Private,White,Male,37.0,9.0,40.0,0.0
Private,White,Male,29.0,11.0,70.0,0.0
Self-emp-not-inc,White,Male,74.0,8.0,20.0,1409.0
Private,White,Female,31.0,15.0,45.0,0.0
Local-gov,Black,Male,32.0,14.0,40.0,0.0
Private,Black,Female,45.0,6.0,38.0,0.0
Private,White,Female,33.0,9.0,40.0,0.0
Federal-gov,White,Male,53.0,10.0,40.0,0.0
Private,White,Male,55.0,10.0,50.0,0.0
Private,White,Female,45.0,9.0,45.0,0.0
Private,White,Female,28.0,13.0,60.0,0.0
Private,White,Male,33.0,13.0,45.0,0.0
Local-gov,White,Male,44.0,14.0,44.0,0.0
Private,Black,Female,55.0,9.0,36.0,0.0
Private,White,Female,24.0,13.0,35.0,0.0
Local-gov,White,Male,45.0,10.0,47.0,0.0
Private,Black,Female,33.0,9.0,40.0,0.0
Self-emp-inc,Black,Female,52.0,14.0,50.0,0.0
Private,White,Female,47.0,10.0,40.0,0.0
Private,White,Female,21.0,10.0,40.0,0.0
Private,White,Female,36.0,9.0,38.0,0.0
Private,Black,Female,30.0,12.0,25.0,0.0
Private,Other,Female,27.0,9.0,40.0,0.0
Self-emp-inc,White,Male,32.0,13.0,40.0,0.0
Private,Asian-Pac-Islander,Male,29.0,16.0,60.0,0.0
Private,White,Female,37.0,13.0,16.0,0.0
Local-gov,White,Male,43.0,15.0,45.0,15024.0
Self-emp-not-inc,White,Male,35.0,13.0,25.0,0.0
Private,Black,Male,37.0,10.0,40.0,0.0
Private,White,Male,27.0,13.0,40.0,0.0
Self-emp-not-inc,White,Male,27.0,6.0,48.0,0.0
Private,Black,Female,23.0,10.0,14.0,0.0
Private,White,Female,20.0,10.0,20.0,0.0
Private,White,Female,35.0,6.0,38.0,0.0
Private,White,Male,56.0,9.0,40.0,0.0
Private,White,Male,28.0,9.0,40.0,0.0
Private,White,Male,34.0,9.0,30.0,0.0
State-gov,White,Male,36.0,15.0,40.0,0.0
Private,White,Female,31.0,13.0,25.0,0.0
Private,White,Male,23.0,10.0,40.0,0.0
Private,White,Male,31.0,9.0,40.0,7688.0
Self-emp-inc,White,Male,27.0,9.0,50.0,0.0
State-gov,Black,Female,28.0,13.0,37.0,0.0
Private,White,Male,24.0,9.0,40.0,0.0
Private,White,Male,42.0,13.0,40.0,0.0
Self-emp-inc,Black,Male,34.0,13.0,50.0,15020.0
Private,White,Male,47.0,9.0,50.0,0.0
Local-gov,Black,Male,35.0,9.0,38.0,0.0
Self-emp-not-inc,White,Male,42.0,10.0,40.0,0.0
Private,White,Female,50.0,9.0,40.0,3137.0
Private,White,Male,47.0,10.0,46.0,0.0
Private,Black,Female,29.0,9.0,40.0,0.0
Self-emp-inc,White,Male,43.0,10.0,50.0,0.0
Private,Black,Male,40.0,9.0,40.0,0.0
Private,White,Male,22.0,9.0,55.0,0.0
Private,White,Male,45.0,9.0,40.0,3325.0
Self-emp-not-inc,White,Female,27.0,13.0,20.0,0.0
Private,Asian-Pac-Islander,Male,42.0,16.0,40.0,0.0
Private,White,Male,51.0,10.0,45.0,0.0
Private,White,Male,57.0,9.0,40.0,0.0
Private,White,Male,33.0,7.0,40.0,0.0
Private,White,Female,28.0,9.0,45.0,0.0
Private,White,Male,41.0,12.0,40.0,0.0
Private,White,Male,44.0,9.0,40.0,0.0
Private,White,Female,22.0,11.0,30.0,0.0
Private,White,Female,26.0,10.0,40.0,0.0
Private,White,Male,36.0,9.0,40.0,0.0
Federal-gov,Black,Male,37.0,11.0,40.0,0.0
Private,White,Male,27.0,3.0,40.0,0.0
Private,White,Male,32.0,9.0,40.0,0.0
Private,White,Female,28.0,9.0,40.0,0.0
Local-gov,White,Male,30.0,14.0,40.0,0.0
Local-gov,White,Female,37.0,9.0,10.0,0.0
Private,White,Male,37.0,10.0,40.0,0.0
Private,White,Male,20.0,8.0,35.0,0.0
Private,White,Female,22.0,10.0,30.0,0.0
Private,White,Male,23.0,12.0,25.0,0.0
Private,White,Male,45.0,14.0,50.0,0.0
Private,White,Male,49.0,16.0,45.0,7688.0
Private,White,Male,37.0,9.0,45.0,0.0
State-gov,White,Male,41.0,14.0,35.0,0.0
Private,White,Female,39.0,10.0,60.0,0.0
Private,White,Male,30.0,9.0,44.0,0.0
Private,Black,Male,36.0,13.0,40.0,0.0
Private,White,Male,41.0,13.0,40.0,0.0
Private,Asian-Pac-Islander,Male,30.0,14.0,45.0,0.0
Self-emp-inc,White,Male,36.0,14.0,40.0,0.0
Private,White,Male,35.0,9.0,40.0,0.0
Private,White,Female,24.0,13.0,60.0,0.0
Private,White,Male,25.0,10.0,40.0,0.0
Private,White,Male,53.0,11.0,40.0,0.0
Private,White,Male,25.0,10.0,25.0,0.0
Self-emp-inc,White,Female,37.0,14.0,70.0,0.0
Federal-gov,White,Male,20.0,10.0,40.0,0.0
Private,White,Male,48.0,10.0,40.0,0.0
Private,White,Male,22.0,10.0,65.0,0.0
Private,White,Female,22.0,9.0,60.0,0.0
Self-emp-not-inc,White,Female,68.0,9.0,35.0,0.0
Private,White,Male,26.0,9.0,40.0,0.0
Private,White,Male,46.0,12.0,45.0,15024.0
Private,White,Female,52.0,14.0,60.0,15024.0
Private,White,Female,17.0,5.0,35.0,0.0
Private,Asian-Pac-Islander,Male,31.0,13.0,35.0,0.0
Private,White,Female,22.0,9.0,55.0,0.0
Private,White,Male,19.0,8.0,25.0,0.0
Private,Black,Female,20.0,10.0,18.0,0.0
Private,White,Male,51.0,9.0,40.0,0.0
Private,White,Female,69.0,9.0,20.0,0.0
Private,White,Male,37.0,9.0,35.0,0.0
Federal-gov,White,Male,30.0,13.0,40.0,0.0
Private,White,Male,45.0,13.0,50.0,0.0
Private,White,Female,29.0,13.0,40.0,0.0
Self-emp-inc,White,Male,53.0,10.0,60.0,0.0
Private,White,Male,30.0,12.0,40.0,0.0
Private,Black,Male,30.0,9.0,40.0,0.0
Self-emp-inc,White,Male,62.0,14.0,45.0,0.0
Private,White,Female,30.0,11.0,35.0,0.0
Private,White,Male,21.0,7.0,45.0,0.0
Self-emp-not-inc,Black,Male,53.0,9.0,45.0,0.0
Private,White,Female,27.0,10.0,40.0,0.0
Local-gov,White,Male,46.0,14.0,45.0,0.0
Private,White,Male,35.0,13.0,65.0,0.0
Private,White,Male,20.0,7.0,35.0,2961.0
Private,White,Female,18.0,9.0,20.0,0.0
Private,White,Male,45.0,11.0,40.0,0.0
Private,White,Male,69.0,9.0,40.0,15831.0
Private,White,Male,38.0,9.0,40.0,0.0
Private,White,Female,26.0,10.0,25.0,0.0
Local-gov,White,Female,23.0,11.0,50.0,0.0
Private,White,Male,19.0,9.0,40.0,0.0
State-gov,White,Male,43.0,13.0,37.0,0.0
Private,White,Male,25.0,13.0,40.0,0.0
Private,Black,Male,33.0,12.0,32.0,0.0
Self-emp-not-inc,White,Male,43.0,14.0,60.0,0.0
Private,Asian-Pac-Islander,Female,26.0,14.0,40.0,0.0
State-gov,White,Female,22.0,10.0,32.0,0.0
Private,White,Female,53.0,13.0,48.0,0.0
Private,White,Male,17.0,5.0,40.0,0.0
Self-emp-not-inc,White,Male,69.0,9.0,48.0,0.0
Private,Asian-Pac-Islander,Male,26.0,10.0,40.0,0.0
Private,White,Male,40.0,11.0,40.0,0.0
Private,White,Male,57.0,9.0,48.0,0.0
Private,White,Male,23.0,10.0,25.0,0.0
Self-emp-not-inc,White,Male,46.0,9.0,40.0,0.0
Local-gov,White,Female,45.0,13.0,50.0,0.0
Private,White,Male,43.0,9.0,55.0,0.0
Private,White,Female,60.0,6.0,40.0,0.0
State-gov,White,Female,45.0,13.0,40.0,0.0
Self-emp-not-inc,White,Male,69.0,10.0,72.0,9386.0
Private,Asian-Pac-Islander,Male,25.0,9.0,45.0,4416.0
Private,White,Female,18.0,10.0,15.0,0.0
Private,White,Female,55.0,4.0,20.0,0.0
Private,White,Male,26.0,1.0,40.0,0.0
State-gov,White,Female,43.0,10.0,40.0,0.0
Private,White,Male,29.0,13.0,40.0,0.0
Federal-gov,White,Male,31.0,9.0,45.0,0.0
Private,White,Male,48.0,9.0,50.0,0.0
Private,White,Male,43.0,13.0,60.0,0.0
Self-emp-not-inc,Asian-Pac-Islander,Male,38.0,13.0,60.0,3103.0
Private,White,Female,38.0,9.0,55.0,0.0
Federal-gov,White,Female,55.0,14.0,40.0,8614.0
Self-emp-not-inc,White,Male,46.0,9.0,35.0,0.0
Private,White,Male,27.0,13.0,46.0,13550.0
Private,White,Male,60.0,6.0,40.0,0.0
State-gov,White,Male,33.0,14.0,60.0,0.0
Private,Amer-Indian-Eskimo,Male,23.0,8.0,40.0,0.0
Local-gov,White,Female,39.0,14.0,28.0,0.0
Local-gov,White,Male,45.0,14.0,50.0,0.0
Private,White,Female,23.0,9.0,40.0,0.0
Private,Black,Female,24.0,7.0,30.0,0.0
Private,White,Male,54.0,14.0,40.0,0.0
Private,White,Male,26.0,9.0,40.0,5721.0
Private,White,Male,25.0,9.0,40.0,0.0
Private,White,Male,69.0,13.0,7.0,0.0
Private,Black,Male,20.0,8.0,35.0,0.0
Private,White,Male,35.0,12.0,40.0,0.0
Private,White,Male,25.0,7.0,40.0,0.0
Self-emp-inc,White,Male,63.0,3.0,25.0,0.0
Private,White,Male,38.0,11.0,25.0,0.0
Private,White,Male,44.0,12.0,60.0,0.0
Local-gov,White,Female,39.0,13.0,35.0,0.0
Private,White,Female,40.0,9.0,40.0,0.0
Federal-gov,White,Male,40.0,9.0,40.0,0.0
Local-gov,White,Male,33.0,9.0,,0.0
Federal-gov,White,Male,49.0,10.0,40.0,0.0
Private,White,Male,39.0,15.0,55.0,0.0
Federal-gov,Black,Female,31.0,13.0,40.0,0.0
Private,White,Female,54.0,9.0,40.0,0.0
Private,White,Male,24.0,10.0,40.0,0.0
Private,White,Female,31.0,11.0,40.0,0.0
Private,White,Male,33.0,9.0,40.0,0.0
Private,White,Male,25.0,13.0,40.0,0.0
Private,White,Male,36.0,10.0,40.0,0.0
Private,White,Male,37.0,12.0,45.0,0.0
Private,White,Male,23.0,13.0,40.0,0.0
Private,White,Male,23.0,9.0,48.0,0.0
Private,White,Male,47.0,9.0,34.0,0.0
Private,White,Male,61.0,13.0,50.0,0.0
Private,White,Female,46.0,1.0,40.0,0.0
Private,White,Female,27.0,10.0,40.0,0.0
Self-emp-inc,White,Male,55.0,15.0,55.0,0.0
Private,White,Female,47.0,14.0,40.0,0.0
Private,White,Male,21.0,9.0,40.0,0.0
Private,White,Female,33.0,13.0,40.0,0.0
Self-emp-not-inc,White,Male,47.0,10.0,40.0,0.0
Private,White,Male,22.0,9.0,55.0,0.0
Private,White,Female,22.0,13.0,40.0,0.0
Private,White,Male,47.0,9.0,40.0,0.0
Local-gov,White,Male,54.0,9.0,40.0,0.0
Private,White,Male,28.0,15.0,55.0,0.0
Private,White,Female,45.0,4.0,21.0,0.0
Private,Black,Male,44.0,13.0,35.0,0.0
Self-emp-inc,White,Male,46.0,14.0,55.0,0.0
Self-emp-inc,White,Female,28.0,9.0,70.0,0.0
Private,White,Female,57.0,9.0,40.0,0.0
Private,White,Male,42.0,9.0,40.0,5178.0
Private,White,Male,21.0,9.0,35.0,0.0
Private,Black,Female,26.0,9.0,30.0,0.0
Private,White,Male,50.0,7.0,70.0,0.0
Private,White,Female,23.0,9.0,40.0,0.0
Private,White,Male,58.0,7.0,40.0,0.0
Self-emp-not-inc,White,Male,44.0,13.0,,0.0
Private,White,Female,28.0,11.0,40.0,0.0
Private,White,Male,37.0,6.0,65.0,0.0
Local-gov,White,Male,49.0,13.0,60.0,0.0
Private,Black,Male,47.0,11.0,40.0,0.0
Private,White,Male,36.0,9.0,40.0,7298.0
Private,White,Female,23.0,9.0,35.0,0.0
Private,White,Female,26.0,13.0,40.0,0.0
Private,White,Male,22.0,10.0,15.0,0.0
Private,White,Male,23.0,13.0,60.0,0.0
Private,White,Female,34.0,8.0,40.0,0.0
Self-emp-inc,White,Male,22.0,13.0,40.0,0.0
Private,Asian-Pac-Islander,Female,42.0,13.0,40.0,0.0
Private,White,Male,58.0,9.0,52.0,8614.0
Private,White,Female,18.0,10.0,16.0,0.0
Private,White,Female,32.0,9.0,40.0,0.0
State-gov,Asian-Pac-Islander,Male,37.0,10.0,40.0,0.0
Private,White,Male,35.0,9.0,40.0,0.0
Private,White,Female,43.0,9.0,25.0,0.0
Private,White,Male,38.0,5.0,40.0,0.0
Federal-gov,White,Male,45.0,9.0,40.0,0.0
Private,White,Male,39.0,13.0,40.0,0.0
Private,White,Male,23.0,13.0,40.0,0.0
Private,White,Male,30.0,14.0,40.0,10520.0
Private,White,Male,44.0,13.0,45.0,0.0
Private,White,Female,18.0,9.0,20.0,0.0
Private,White,Male,30.0,13.0,40.0,0.0
Private,White,Male,55.0,6.0,40.0,0.0
Private,White,Male,34.0,6.0,40.0,0.0
Private,White,Male,63.0,9.0,40.0,0.0
Private,Amer-Indian-Eskimo,Male,40.0,9.0,45.0,0.0
Self-emp-inc,White,Male,28.0,13.0,65.0,15024.0
Private,White,Male,42.0,14.0,40.0,0.0
Self-emp-inc,White,Male,42.0,15.0,65.0,15024.0
Private,White,Male,30.0,13.0,45.0,0.0
Private,White,Male,59.0,9.0,40.0,0.0
Private,White,Male,41.0,4.0,40.0,0.0
Private,White,Female,30.0,13.0,40.0,3325.0
Private,White,Male,50.0,9.0,47.0,3137.0
Private,White,Male,35.0,13.0,40.0,0.0
Private,White,Male,43.0,13.0,40.0,0.0
Private,White,Female,29.0,13.0,40.0,0.0
Self-emp-inc,White,Male,48.0,14.0,40.0,0.0
Self-emp-not-inc,White,Male,47.0,13.0,35.0,0.0
Self-emp-not-inc,White,Male,72.0,15.0,10.0,0.0
Private,White,Female,56.0,4.0,40.0,0.0
Private,Black,Male,54.0,4.0,50.0,0.0
Private,White,Male,33.0,13.0,45.0,0.0
Private,White,Male,23.0,9.0,40.0,0.0
Private,White,Male,32.0,11.0,40.0,0.0
State-gov,Asian-Pac-Islander,Male,33.0,14.0,30.0,0.0
Private,White,Female,56.0,9.0,45.0,0.0
Self-emp-inc,White,Male,36.0,10.0,50.0,0.0
State-gov,Black,Male,25.0,10.0,38.0,0.0
Private,White,Female,19.0,10.0,20.0,0.0
Private,White,Female,32.0,10.0,20.0,0.0
Private,Black,Female,22.0,10.0,20.0,0.0
Private,White,Male,28.0,13.0,60.0,0.0
Local-gov,White,Male,60.0,14.0,40.0,0.0
Local-gov,White,Male,31.0,9.0,47.0,0.0
Private,White,Male,48.0,9.0,40.0,0.0
Private,White,Male,50.0,9.0,40.0,0.0
Private,White,Female,25.0,13.0,40.0,0.0
Private,White,Female,25.0,9.0,30.0,0.0
Private,White,Female,23.0,13.0,40.0,0.0
Local-gov,Amer-Indian-Eskimo,Male,40.0,9.0,40.0,0.0
Self-emp-not-inc,White,Male,57.0,9.0,72.0,0.0
Private,White,Male,46.0,9.0,37.0,0.0
Private,White,Female,25.0,10.0,60.0,0.0
Local-gov,Black,Male,39.0,14.0,40.0,0.0
Private,Black,Male,50.0,9.0,40.0,0.0
Private,White,Female,63.0,7.0,40.0,0.0
Self-emp-inc,White,Male,49.0,15.0,40.0,0.0
Private,White,Male,20.0,9.0,40.0,0.0
Local-gov,White,Male,54.0,9.0,56.0,0.0
Private,White,Male,49.0,9.0,40.0,0.0
Private,White,Male,34.0,9.0,40.0,0.0
Private,White,Male,34.0,9.0,45.0,0.0
Private,Amer-Indian-Eskimo,Male,51.0,9.0,40.0,0.0
Private,White,Male,29.0,5.0,40.0,0.0
Private,White,Male,39.0,13.0,40.0,0.0
Private,White,Male,19.0,9.0,40.0,0.0
Private,White,Male,40.0,12.0,80.0,0.0
Private,White,Male,19.0,9.0,40.0,0.0
Private,White,Male,31.0,13.0,50.0,0.0
Private,White,Female,18.0,8.0,25.0,0.0
Private,Black,Male,31.0,9.0,40.0,0.0
Private,White,Male,23.0,10.0,40.0,0.0
Private,White,Female,70.0,10.0,12.0,0.0
Private,White,Male,27.0,6.0,75.0,0.0
Private,White,Male,26.0,7.0,40.0,0.0
Local-gov,White,Male,27.0,9.0,50.0,0.0
Private,White,Male,44.0,12.0,35.0,0.0
Self-emp-inc,White,Female,33.0,9.0,40.0,0.0
Self-emp-not-inc,White,Male,33.0,15.0,50.0,7688.0
Private,Black,Male,22.0,10.0,35.0,0.0
Private,White,Female,34.0,9.0,40.0,0.0
Private,White,Male,28.0,9.0,40.0,0.0
Self-emp-inc,White,Male,54.0,11.0,40.0,0.0
Private,White,Female,41.0,13.0,40.0,0.0
Self-emp-not-inc,White,Female,56.0,9.0,40.0,99999.0
Private,White,Male,38.0,11.0,55.0,0.0
Private,White,Male,20.0,10.0,25.0,0.0
Private,White,Male,36.0,13.0,45.0,0.0
Private,White,Male,66.0,13.0,15.0,0.0
Private,White,Female,40.0,13.0,45.0,0.0
Private,White,Male,19.0,9.0,40.0,0.0
State-gov,White,Male,35.0,9.0,40.0,0.0
Private,White,Male,38.0,9.0,40.0,0.0
Private,Asian-Pac-Islander,Male,41.0,9.0,40.0,0.0
State-gov,White,Male,43.0,11.0,40.0,0.0
State-gov,White,Female,45.0,10.0,45.0,0.0
Private,White,Female,39.0,13.0,32.0,5013.0
Self-emp-not-inc,Black,Female,32.0,13.0,60.0,2174.0
Federal-gov,White,Female,47.0,9.0,40.0,0.0
Private,Asian-Pac-Islander,Male,22.0,11.0,40.0,0.0
Private,White,Male,54.0,16.0,45.0,15024.0
Private,White,Female,41.0,9.0,40.0,0.0
Private,White,Female,51.0,10.0,40.0,0.0
Private,White,Male,47.0,10.0,,0.0
Self-emp-not-inc,White,Male,26.0,10.0,78.0,0.0
Private,White,Male,45.0,13.0,55.0,0.0
Private,White,Female,35.0,9.0,38.0,0.0
Private,White,Male,27.0,9.0,40.0,0.0
Self-emp-not-inc,White,Female,43.0,9.0,40.0,0.0
Private,Black,Female,33.0,10.0,38.0,0.0
Private,White,Male,32.0,9.0,40.0,0.0
Private,Black,Male,48.0,13.0,40.0,0.0
Self-emp-not-inc,White,Male,68.0,10.0,40.0,0.0
Private,White,Male,67.0,14.0,40.0,0.0
Private,White,Male,36.0,13.0,40.0,0.0
Private,White,Male,27.0,9.0,36.0,0.0
Self-emp-inc,White,Male,35.0,9.0,50.0,0.0
Local-gov,White,Male,53.0,10.0,40.0,0.0
Private,White,Male,20.0,9.0,40.0,0.0
Private,White,Male,49.0,13.0,75.0,0.0
Private,White,Male,33.0,14.0,45.0,0.0
Private,Black,Male,21.0,9.0,40.0,0.0
Private,White,Male,56.0,10.0,34.0,0.0
Self-emp-inc,White,Male,44.0,10.0,45.0,0.0
Private,White,Female,48.0,10.0,40.0,0.0
Private,White,Female,34.0,14.0,40.0,0.0
Private,White,Male,47.0,10.0,48.0,0.0
Private,White,Female,40.0,9.0,35.0,0.0
State-gov,White,Female,39.0,9.0,55.0,0.0
Self-emp-not-inc,White,Male,75.0,10.0,35.0,0.0
Private,White,Female,19.0,9.0,14.0,0.0
Self-emp-inc,White,Male,38.0,10.0,50.0,0.0
Private,White,Female,21.0,10.0,25.0,0.0
Private,White,Male,44.0,9.0,40.0,0.0
Self-emp-inc,White,Male,46.0,13.0,42.0,0.0
Self-emp-not-inc,White,Male,26.0,10.0,30.0,0.0
Private,Black,Male,42.0,9.0,40.0,0.0
Local-gov,White,Female,62.0,14.0,33.0,10520.0
State-gov,White,Male,43.0,9.0,40.0,0.0
Private,White,Male,23.0,6.0,40.0,0.0
Private,Black,Female,56.0,7.0,40.0,0.0
Private,White,Female,30.0,13.0,40.0,0.0
Private,White,Male,20.0,10.0,23.0,0.0
State-gov,White,Male,31.0,12.0,40.0,0.0
Private,White,Female,28.0,9.0,35.0,0.0
Private,White,Male,33.0,10.0,40.0,0.0
Self-emp-not-inc,White,Female,41.0,14.0,55.0,0.0
Private,White,Male,23.0,13.0,40.0,0.0
Private,White,Female,36.0,9.0,40.0,0.0
Private,White,Male,18.0,9.0,40.0,0.0
Private,White,Male,60.0,7.0,70.0,0.0
Private,White,Male,36.0,10.0,40.0,5178.0
State-gov,White,Female,23.0,13.0,20.0,0.0
Local-gov,White,Female,24.0,13.0,20.0,0.0
Private,White,Male,57.0,9.0,78.0,0.0
Private,White,Male,35.0,9.0,40.0,0.0
Private,Black,Female,30.0,10.0,40.0,0.0
Local-gov,White,Female,28.0,13.0,40.0,0.0
Private,White,Male,48.0,11.0,40.0,0.0
Private,Black,Male,65.0,14.0,20.0,0.0
Private,White,Female,42.0,13.0,50.0,0.0
Local-gov,White,Male,21.0,10.0,48.0,0.0
Private,White,Male,59.0,9.0,40.0,0.0
Private,Asian-Pac-Islander,Female,34.0,6.0,4.0,0.0
Self-emp-inc,White,Female,56.0,8.0,40.0,0.0
Private,White,Male,30.0,10.0,45.0,0.0
Private,White,Female,76.0,9.0,8.0,0.0
Local-gov,White,Male,38.0,15.0,,0.0
Self-emp-not-inc,White,Male,37.0,15.0,60.0,15024.0
Local-gov,White,Male,35.0,9.0,40.0,0.0
Private,White,Male,41.0,9.0,45.0,0.0
Private,White,Male,21.0,10.0,40.0,0.0
Private,Black,Female,66.0,10.0,20.0,0.0
Self-emp-inc,White,Male,54.0,13.0,40.0,7688.0
Private,White,Male,19.0,9.0,32.0,0.0
Self-emp-not-inc,White,Male,24.0,9.0,30.0,0.0
Private,White,Male,37.0,9.0,40.0,0.0
Private,White,Male,23.0,10.0,40.0,0.0
Private,White,Male,47.0,14.0,45.0,0.0
Private,White,Male,25.0,9.0,50.0,0.0
Self-emp-not-inc,White,Male,36.0,10.0,50.0,0.0
Private,White,Male,24.0,10.0,30.0,0.0
Federal-gov,White,Female,33.0,13.0,40.0,0.0
Private,White,Female,21.0,10.0,32.0,1055.0
Federal-gov,Amer-Indian-Eskimo,Female,17.0,7.0,15.0,0.0
Private,White,Male,51.0,14.0,40.0,0.0
Self-emp-inc,White,Female,44.0,9.0,60.0,0.0
Private,White,Male,30.0,9.0,40.0,0.0
Self-emp-inc,Asian-Pac-Islander,Male,49.0,10.0,56.0,0.0
Self-emp-not-inc,White,Male,42.0,15.0,40.0,0.0
Private,White,Male,39.0,10.0,43.0,0.0
Private,White,Female,32.0,8.0,45.0,0.0
Private,White,Male,42.0,13.0,40.0,0.0
Self-emp-inc,Asian-Pac-Islander,Female,45.0,13.0,35.0,0.0
Private,White,Male,27.0,12.0,40.0,0.0
Private,White,Male,20.0,9.0,25.0,0.0
Private,White,Male,26.0,9.0,96.0,0.0
Self-emp-not-inc,White,Male,48.0,9.0,60.0,0.0
Private,White,Male,31.0,9.0,40.0,0.0
Private,Asian-Pac-Islander,Male,41.0,14.0,45.0,0.0
Private,Black,Male,23.0,9.0,40.0,0.0
Local-gov,White,Male,43.0,14.0,40.0,0.0
Private,White,Male,41.0,9.0,50.0,0.0
Private,White,Female,55.0,13.0,40.0,3464.0
Self-emp-inc,White,Male,59.0,15.0,60.0,15024.0
Private,Black,Female,53.0,9.0,40.0,0.0
Private,White,Male,43.0,13.0,20.0,0.0
Private,White,Female,19.0,10.0,10.0,0.0
Private,White,Male,60.0,9.0,25.0,0.0
Private,White,Male,46.0,7.0,30.0,0.0
Local-gov,White,Female,46.0,14.0,40.0,0.0
Private,White,Male,32.0,6.0,35.0,0.0
Private,White,Male,39.0,12.0,40.0,1506.0
Private,White,Male,26.0,13.0,45.0,0.0
Private,Black,Female,48.0,10.0,40.0,0.0
Private,Black,Female,31.0,13.0,40.0,0.0
Self-emp-not-inc,Black,Male,47.0,9.0,50.0,3103.0
Local-gov,White,Female,25.0,13.0,40.0,0.0
Private,White,Male,55.0,10.0,50.0,0.0
Private,White,Male,21.0,6.0,40.0,0.0
Self-emp-not-inc,White,Male,57.0,9.0,50.0,0.0
Local-gov,White,Female,37.0,11.0,40.0,0.0
Private,White,Male,51.0,13.0,50.0,14084.0
Private,White,Male,72.0,14.0,12.0,0.0
Local-gov,White,Female,47.0,9.0,35.0,0.0
Federal-gov,White,Female,31.0,13.0,45.0,0.0
Private,White,Male,37.0,7.0,40.0,0.0
Private,White,Male,49.0,4.0,40.0,0.0
Private,Asian-Pac-Islander,Male,35.0,9.0,40.0,0.0
Private,White,Female,20.0,9.0,40.0,0.0
